Level,Theme,Set,SetTitle,Vietnamese,Japanese,Source
"A1","食べ物","1","主食と料理","cơm","ご飯","legacy-match"
"A1","食べ物","1","主食と料理","gạo","米（炊く前）","draft"
"A1","食べ物","1","主食と料理","bánh mì","パン","draft"
"A1","食べ物","1","主食と料理","phở","フォー","legacy-match"
"A1","食べ物","1","主食と料理","bún","米の細麺","draft"
"A1","食べ物","1","主食と料理","mì","麺","draft"
"A1","食べ物","1","主食と料理","cháo","おかゆ","draft"
"A1","食べ物","1","主食と料理","xôi","おこわ","draft"
"A1","食べ物","1","主食と料理","thịt","肉","legacy-match"
"A1","食べ物","1","主食と料理","cá","魚","draft"
"A1","食べ物","1","主食と料理","trứng","卵","draft"
"A1","食べ物","1","主食と料理","rau","野菜","legacy-match"
"A1","食べ物","1","主食と料理","canh","汁物","draft"
"A1","食べ物","1","主食と料理","súp","スープ","draft"
"A1","食べ物","1","主食と料理","đậu phụ","豆腐","draft"
"A1","食べ物","1","主食と料理","thịt bò","牛肉","draft"
"A1","食べ物","1","主食と料理","thịt lợn","豚肉","draft"
"A1","食べ物","1","主食と料理","thịt gà","鶏肉","draft"
"A1","食べ物","1","主食と料理","tôm","エビ","draft"
"A1","食べ物","1","主食と料理","cua","カニ","draft"
"A1","食べ物","2","果物と飲み物","nước","水","legacy-match"
"A1","食べ物","2","果物と飲み物","trà","お茶","draft"
"A1","食べ物","2","果物と飲み物","cà phê","コーヒー","legacy-match"
"A1","食べ物","2","果物と飲み物","sữa","牛乳","draft"
"A1","食べ物","2","果物と飲み物","nước cam","オレンジジュース","draft"
"A1","食べ物","2","果物と飲み物","bia","ビール","draft"
"A1","食べ物","2","果物と飲み物","rượu","酒","draft"
"A1","食べ物","2","果物と飲み物","đá","氷","draft"
"A1","食べ物","2","果物と飲み物","đường","砂糖","legacy-match"
"A1","食べ物","2","果物と飲み物","muối","塩","draft"
"A1","食べ物","2","果物と飲み物","táo","りんご","draft"
"A1","食べ物","2","果物と飲み物","cam","オレンジ","draft"
"A1","食べ物","2","果物と飲み物","chuối","バナナ","draft"
"A1","食べ物","2","果物と飲み物","xoài","マンゴー","draft"
"A1","食べ物","2","果物と飲み物","dứa","パイナップル","draft"
"A1","食べ物","2","果物と飲み物","dưa hấu","スイカ","draft"
"A1","食べ物","2","果物と飲み物","nho","ぶどう","draft"
"A1","食べ物","2","果物と飲み物","chanh","ライム","draft"
"A1","食べ物","2","果物と飲み物","dừa","ココナッツ","draft"
"A1","食べ物","2","果物と飲み物","đu đủ","パパイヤ","draft"
"A1","人・家族","1","家族と呼び方","bố","父","legacy-match"
"A1","人・家族","1","家族と呼び方","mẹ","母","legacy-match"
"A1","人・家族","1","家族と呼び方","ông","祖父","draft"
"A1","人・家族","1","家族と呼び方","bà","祖母","draft"
"A1","人・家族","1","家族と呼び方","anh trai","兄","legacy-match"
"A1","人・家族","1","家族と呼び方","chị gái","姉","legacy-match"
"A1","人・家族","1","家族と呼び方","em trai","弟","draft"
"A1","人・家族","1","家族と呼び方","em gái","妹","legacy-match"
"A1","人・家族","1","家族と呼び方","con trai","息子","draft"
"A1","人・家族","1","家族と呼び方","con gái","娘","draft"
"A1","人・家族","1","家族と呼び方","vợ","妻","draft"
"A1","人・家族","1","家族と呼び方","chồng","夫","legacy-match"
"A1","人・家族","1","家族と呼び方","gia đình","家族","legacy-match"
"A1","人・家族","1","家族と呼び方","bố mẹ","両親","draft"
"A1","人・家族","1","家族と呼び方","trẻ em","子供たち","draft"
"A1","人・家族","1","家族と呼び方","người lớn","大人","draft"
"A1","人・家族","1","家族と呼び方","em bé","赤ちゃん","draft"
"A1","人・家族","1","家族と呼び方","cháu","孫・おい・めい","draft"
"A1","人・家族","1","家族と呼び方","bác","親より年上のおじ・おば","draft"
"A1","人・家族","1","家族と呼び方","cô","おば・女性の先生","draft"
"A1","人・家族","2","人と基本の呼び方","người","人","legacy-match"
"A1","人・家族","2","人と基本の呼び方","tôi","私","draft"
"A1","人・家族","2","人と基本の呼び方","bạn","あなた・友達","legacy-match"
"A1","人・家族","2","人と基本の呼び方","chúng tôi","私たち（聞き手を含まない）","draft"
"A1","人・家族","2","人と基本の呼び方","chúng ta","私たち（聞き手を含む）","draft"
"A1","人・家族","2","人と基本の呼び方","họ","彼ら・彼女ら","draft"
"A1","人・家族","2","人と基本の呼び方","anh ấy","彼","draft"
"A1","人・家族","2","人と基本の呼び方","cô ấy","彼女","draft"
"A1","人・家族","2","人と基本の呼び方","ai","誰","legacy-match"
"A1","人・家族","2","人と基本の呼び方","tên","名前","draft"
"A1","人・家族","2","人と基本の呼び方","tuổi","年齢","draft"
